Category,place_name,area,open_time,close_time,contact_number,,latitude,longitude,vibe_tags,time_context,amenities,mood_scores
,Vedapureeswarar Temple,MG Road,06:00,20:00,,,11.937,79.828,shiva|ancient,,library|idols,"{""mystic"": 9, ""energy"": 8}"
Heritage & Arts,Pondicherry Museum,St Louis Street,09:00,18:00,+91 413 233 6203,,11.9345,79.834,artifacts|history,afternoon,restrooms,"{""knowledge"": 10, ""old"": 9}"
,French Institute (IFP),St Louis Street,09:00,17:00,+91 413 233 4168,,11.9317,79.8345,research|archive,,library,"{""intellectual"": 10, ""elite"": 8}"
,Raj Niwas,White Town,10:00,16:00,+91 413 233 4051,,11.9342,79.8343,governor_palace,,security|garden,"{""grand"": 10, ""power"": 9}"
,Aurodhan Gallery,F. Martin Street,10:00,19:00,+91 413 222 2449,,11.9358,79.8348,studio|contemporary,morning,workshop,"{""artistic"": 10, ""chic"": 9}"
,Ayi Mandapam,Bharathi Park Center,00:00,23:59,Public,,11.9341,79.8337,napoleon_iii|white,night,park access,"{""symbolic"": 9, ""visual"": 8}"
,Romain Rolland Library,White Town,09:00,20:00,,,11.9335,79.833,french|manuscripts,,ac|archives,"{""silent"": 10, ""old"": 9}"
,Old Lighthouse,Beach Road,09:00,18:00,,,11.935,79.835,maritime|historic,evening,public boardwalk,"{""iconic"": 9, ""sea"": 8}"
Shopping & Boutique,Casablanca,Mission Street,10:00,22:00,+91 413 222 6499,,11.9353,79.8284,brands|posh|hub,evening,ac|pizza_corner,"{""trendy"": 9, ""luxe"": 8}"
,Hidesign Flagship,JN Street,10:00,21:30,+91 413 421 0000,,11.9365,79.8268,iconic|high_end,evening,rooftop cafe,"{""luxury"": 10, ""leather"": 10}"
,Anokhi,White Town,10:00,20:00,+91 413 234 5431,,11.931,79.8325,block_print|artisan,morning,ac|trials,"{""ethnic"": 10, ""chic"": 9}"
,Kalki,Mission Street,09:30,20:30,+91 413 233 9166,,11.935,79.828,incense|maroma,evening,testing station,"{""scented"": 10, ""soulful"": 9}"
,Providence Mall,Anna Salai,10:00,22:00,,,11.9318,79.8162,modern|cinema,,food court|lift,"{""social"": 9, ""busy"": 8}"
,Janaki,Heritage Town,10:00,19:30,,,11.937,79.831,sustainable|craft,afternoon,organic cafe,"{""organic"": 10, ""calm"": 9}"
,Goubert Market,JN Street,05:00,21:00,,,11.938,79.826,flowers|sensory,,street food,"{""raw"": 10, ""busy"": 10}"
Adventure & Fun,Temple Adventures,Colas Nagar,06:30,18:00,+91 99402 19449,,11.9213,79.8165,scuba_diving|padi,morning,boat|gear|video,"{""adrenaline"": 10, ""pro"": 9}"
,Kallialay Surf School,Serenity,06:30,17:00,+91 94429 92874,,11.9688,79.8458,surfing|waves,,instructors,"{""energy"": 10, ""cool"": 9}"
,Go-Karting Pondy,ECR Road,11:00,20:00,,,11.9755,79.831,racing|track,night,pit area|safety,"{""fast"": 9, ""fun"": 9}"
,Escape Hunt,Bussy Street,11:00,21:00,+91 91763 67123,,11.9345,79.827,mystery|teamwork,afternoon,ac|themes,"{""fun"": 10, ""logic"": 9}"
,Pondy Cycle Tour,Various points,07:00,18:00,,,11.932,79.833,heritage|cycling,,cycle|breakfast,"{""fresh"": 9, ""social"": 8}"
,Mangrove Kayaking,Arts Village,08:00,17:00,,,11.89,79.8,mangroves|scenic,,kayaks|guide,"{""zen"": 10, ""adventure"": 8}"
,Auroville Equestrian,Auroville,06:30,16:30,,,12.01,79.805,horse_riding|calm,morning,stable tours,"{""noble"": 9, ""nature"": 8}"
,Sita Cultural Centre,White Town,09:00,18:00,,,11.932,79.832,kolam_class|cookery,morning,workshop kits,"{""learning"": 10, ""fun"": 9}"
,Paramotoring,Serenity Beach area,06:00,18:00,,,11.97,79.845,aerial|flight,,pilots|briefing,"{""freedom"": 10, ""views"": 10}"
,Sky High,Pondy Airport,10:00,17:00,,,11.967,79.813,skydiving|aerial,,training|hangar,"{""adrenaline"": 10, ""rare"": 9}"
,Crafts Village,Murungapakkam,10:00,17:00,,,11.898,79.801,terracotta|village,,workshops|sales,"{""artistic"": 9, ""rustic"": 8}"
,Chunnambar Boat House,Nonankuppam,09:00,17:00,,,11.892,79.81,boating|backwater,,lifejackets|cafe,"{""family"": 9, ""social"": 8}"
,Scuba Schools International,White Town,08:00,18:00,,,11.932,79.831,diving|training,morning,gear|pool training,"{""aquatic"": 10, ""focus"": 9}"
,The Pelican Play,Kalapet,16:00,20:00,,,12.02,79.855,kids_zone|modern,evening,play equipment,"{""play"": 10, ""fun"": 9}"
,Paintball Zone,ECR Road,11:00,19:00,,,11.98,79.835,team_game|outdoor,night,safety suits|arena,"{""energy"": 9, ""action"": 9}"
